판매일,오프라인(대형서점),,오프라인(지역서점),,온라인,,
,부수,금액,부수,금액,부수,금액,
21년 01월,"130,003","1,770,579,102",0,0,"119,825","1,652,495,850",
21년 02월,"185,702","2,277,112,738",0,0,"101,008","1,391,052,300",
21년 03월,"189,325","2,252,133,957",0,0,"106,153","1,379,833,480",
21년 04월,"167,608","1,966,302,281",0,0,"96,912","1,310,105,490",
21년 05월,"195,303","2,372,556,477",0,0,"100,217","1,335,298,610",
21년 06월,"192,524","2,320,588,576",0,0,"103,777","1,382,172,000",
21년 07월,"221,133","2,703,131,130",6,"81,200","122,193","1,635,637,040",
21년 08월,"209,667","2,633,619,153","1,326","18,744,920","117,023","1,578,929,210",
21년 09월,"186,816","2,489,651,920","4,874","67,959,405","295,486","4,205,620,032",
21년 10월,"187,335","2,454,846,280","7,545","105,346,075","374,896","5,313,899,314",
21년 11월,"209,434","2,714,463,689","14,513","200,634,005","405,907","5,858,321,457",
21년 12월,"237,095","3,196,357,236","19,573","269,552,000","493,866","7,125,328,279",
22년 01월,"189,843","2,604,561,918","14,386","199,017,953","358,973","5,098,820,626",
22년 02월,"187,081","2,517,541,399","12,450","172,227,575","323,723","4,537,381,407",
22년 03월,"168,271","2,240,375,135","10,024","142,091,613","348,832","5,004,418,248",
22년 04월,"166,765","2,157,699,508","10,019","137,376,223","320,700","4,560,730,964",
22년 05월,"195,821","2,558,231,868","12,580","184,726,923","339,213","4,826,703,639",
22년 06월,"140,394","1,858,768,797","11,361","163,923,960","256,572","3,676,313,586",
22년 07월,"186,672","2,521,163,171","13,509","200,251,428","308,796","4,438,276,318",
22년 08월,"169,866","2,315,027,771","12,052","177,607,501","298,328","4,273,797,883",
22년 09월,"173,946","2,312,567,164","11,372","168,453,445","287,965","4,147,501,902",
22년 10월,"168,785","2,534,888,570","11,783","174,039,762","287,455","4,272,570,582",
22년 11월,"178,226","2,813,393,780","10,787","162,332,688","324,188","5,026,531,651",
22년 12월,"244,865","3,869,093,200","18,784","284,374,671","375,705","5,794,520,014",
23년 01월,"191,021","3,031,185,440","12,971","193,311,889","297,864","4,644,683,606",
23년 02월,"173,657","2,795,191,780","12,755","192,996,045","264,277","4,114,153,309",
23년 03월,"168,674","2,736,273,180","11,915","178,981,505","268,351","4,147,340,450",
23년 04월,"162,586","2,649,219,930","9,388","133,923,390","255,405","3,831,353,113",
23년 05월,"170,702","2,737,696,060","11,519","176,637,308","247,796","3,827,694,981",
23년 06월,"169,275","2,776,919,920","10,758","162,214,685","266,315","4,164,030,050",
23년 07월,"183,565","3,097,953,100","13,387","205,938,146","293,106","4,950,766,459",
23년 08월,"176,440","2,976,961,500","16,640","262,755,542","284,117","4,691,690,699",
23년 09월,"168,258","2,824,346,720","15,321","248,791,729","284,553","4,591,636,825",
23년 10월,"173,214","2,881,390,290","14,576","229,191,058","252,356","4,004,017,748",
23년 11월,"153,722","2,534,046,910","14,365","223,290,652","281,412","4,504,167,482",
23년 12월,"209,371","3,495,342,780","19,553","311,100,505","349,560","5,720,703,946",
24년 01월,"164,085","2,757,816,700","13,798","219,346,220","290,365","4,717,248,300",
24년 02월,"161,106","2,713,254,430","15,505","246,309,905","246,084","3,969,222,150",
24년 03월,"161,060","2,729,417,780","16,042","254,413,955","297,586","4,845,888,926",
24년 04월,"176,810","3,023,081,300","16,161","272,631,632","281,431","4,558,867,907",
24년 05월,"196,455","3,353,767,290","18,149","300,703,877","299,454","4,898,535,553",
24년 06월,"177,978","3,058,403,230","17,197","276,741,509","282,593","4,629,089,080",
24년 07월,"182,169","3,113,084,840","18,281","299,302,030","298,963","4,902,020,554",
24년 08월,"166,041","2,832,137,480","24,246","410,949,808","287,874","4,674,425,272",
24년 09월,"158,812","2,718,962,440","10,823","175,533,863","249,392","4,043,327,734",
