판매일,오프라인(대형서점),,오프라인(지역서점),,온라인,,
,부수,금액,부수,금액,부수,금액,
22년 01월,"170,492","2,242,995,761","15,124","197,459,100","284,694","4,235,178,440","6,675,633,301"
22년 02월,"171,432","2,224,418,365","13,425","179,225,859","279,202","3,949,176,129","6,352,820,353"
22년 03월,"223,433","2,632,453,988","16,970","207,094,269","407,950","5,604,913,481","8,444,461,738"
22년 04월,"231,384","2,610,102,148","17,742","202,655,183","416,301","5,493,622,761","8,306,380,092"
22년 05월,"195,484","2,341,089,178","14,526","190,539,198","285,747","3,870,142,984","6,401,771,360"
22년 06월,"155,709","1,903,640,430","12,195","164,555,666","238,100","3,206,943,015","5,275,139,111"
22년 07월,"212,317","2,626,083,109","16,822","221,779,946","300,822","4,167,000,419","7,014,863,474"
22년 08월,"231,249","2,880,740,852","17,214","225,639,803","370,157","4,982,075,409","8,088,456,064"
22년 09월,"217,130","2,679,311,131","15,318","205,556,178","334,708","5,544,872,076","8,429,739,385"
22년 10월,"215,213","2,939,128,230","15,294","209,443,307","322,138","4,492,990,954","7,641,562,491"
22년 11월,"196,046","2,795,499,964","12,632","174,861,645","357,924","5,112,977,954","8,083,339,563"
22년 12월,"257,392","3,708,781,960","20,672","292,596,271","373,929","5,665,868,518","9,667,246,749"
23년 01월,"185,145","2,705,131,624","12,809","172,991,650","269,405","4,086,805,661","6,964,928,935"
23년 02월,"163,837","2,456,680,848","12,064","163,760,303","246,990","3,622,245,781","6,242,686,932"
23년 03월,"187,243","2,734,085,761","13,605","181,107,565","288,700","4,229,301,441","7,144,494,767"
23년 04월,"180,066","2,615,823,800","10,026","133,572,540","249,828","3,639,775,831","6,389,172,171"
23년 05월,"186,859","2,752,041,990","12,130","163,711,570","246,590","3,883,617,315","6,799,370,875"
23년 06월,"160,505","2,380,101,230","10,518","143,345,075","221,134","3,283,938,363","5,807,384,668"
23년 07월,"187,910","2,617,835,830","13,056","177,446,095","249,724","3,726,207,355","6,521,489,280"
23년 08월,"188,071","2,619,861,050","18,684","260,034,376","273,586","4,301,045,658","7,180,941,084"
23년 09월,"180,129","2,660,806,220","14,929","215,536,338","279,847","4,757,254,147","7,633,596,705"
23년 10월,"193,309","2,829,749,530","16,461","236,368,938","263,397","4,271,098,752","7,337,217,220"
23년 11월,"182,194","2,703,845,385","15,796","228,855,900","287,013","4,556,803,708","7,489,504,993"
23년 12월,"253,698","3,886,377,270","21,736","323,907,755","336,508","5,515,591,125","9,725,876,150"
24년 01월,"165,290","2,425,203,100","65,189","647,178,010","264,962","3,921,515,729","6,993,896,839"
24년 02월,"167,249","2,454,699,800","16,807","242,263,705","237,544","3,524,011,276","6,220,974,781"
24년 03월,"169,283","2,489,120,920","19,201","273,621,915","271,523","3,910,018,377","6,672,761,212"
24년 04월,"159,963","2,344,121,720","16,715","253,883,766","230,426","3,297,657,697","5,895,663,183"
24년 05월,"194,861","2,853,700,700","21,692","308,983,202","251,288","3,752,609,346","6,915,293,248"
24년 06월,"187,031","2,733,750,800","18,610","263,824,103","276,311","3,986,462,533","6,984,037,436"
24년 07월,"214,034","3,121,616,700","23,518","338,777,671","300,400","4,408,803,932","7,869,198,303"
24년 08월,"212,006","3,150,781,900","23,863","351,721,509","336,596","5,159,829,986","8,662,333,395"
24년 09월,"216,238","3,266,547,300","14,611","221,827,671","308,485","4,741,019,598","8,229,394,569"
