판매일,오프라인(대형서점),,,오프라인(지역서점),,,온라인,,
,부수,종수,금액,부수,종수,금액,부수,종수,금액
21년 01월,"2,501,561","171,412","34,716,896,834",0,5,0,"2,231,427","194,954","31,660,907,376"
21년 02월,"2,672,924","181,974","35,596,269,877",0,3,0,"2,014,473","192,589","28,216,495,241"
21년 03월,"3,036,505","195,197","41,105,739,150",0,3,0,"2,655,112","218,890","41,228,489,588"
21년 04월,"2,583,177","198,277","33,563,580,771",0,4,0,"1,920,842","197,686","28,379,725,042"
21년 05월,"2,749,649","194,762","35,567,218,777",0,"3,235",0,"1,703,827","190,274","24,975,305,438"
21년 06월,"2,580,342","192,889","33,926,543,495",46,47,"665,420","1,792,340","190,902","26,588,390,410"
21년 07월,"2,887,272","190,783","37,924,299,264","26,483","6,545","342,685,645","2,129,439","196,782","31,061,303,830"
21년 08월,"2,813,282","187,248","37,309,466,590","110,370","24,601","1,202,992,750","1,917,628","192,817","28,521,724,323"
21년 09월,"3,118,892","192,268","41,743,659,753","128,506","32,197","1,636,764,027","5,838,031","288,728","88,504,304,566"
21년 10월,"2,164,533","178,239","28,209,655,559","114,909","33,963","1,525,379,305","4,966,708","274,021","72,252,242,545"
21년 11월,"2,478,285","190,414","32,297,847,497","310,872","52,092","3,959,153,754","5,873,108","292,806","86,747,076,213"
21년 12월,"2,816,226","187,392","38,231,880,231","447,339","59,331","5,713,963,216","7,399,500","298,293","109,295,912,677"
22년 01월,"2,648,822","168,873","37,444,163,648","488,484","52,616","5,994,785,873","6,426,346","282,991","95,631,013,611"
22년 02월,"2,578,171","177,645","35,403,227,374","384,042","50,793","4,651,731,569","6,049,175","286,611","87,556,507,062"
22년 03월,"2,883,707","182,445","39,067,547,059","500,919","49,806","5,606,339,552","7,488,249","308,276","115,480,226,271"
22년 04월,"2,568,320","190,540","33,543,242,960","344,929","49,058","4,310,318,423","5,968,245","294,331","87,240,703,877"
22년 05월,"2,627,623","191,130","34,363,746,426","303,910","51,026","4,238,830,251","5,330,410","288,121","78,200,724,716"
22년 06월,"2,032,094","166,972","27,309,209,515","294,451","49,088","4,177,275,793","4,575,086","275,159","67,959,551,662"
22년 07월,"2,855,503","182,074","38,953,420,946","497,075","54,301","6,954,885,867","6,120,639","287,286","89,790,718,645"
22년 08월,"2,668,792","182,225","36,578,261,688","364,758","51,457","5,087,044,924","5,876,781","299,784","87,434,449,445"
22년 09월,"2,608,650","189,489","36,085,239,922","318,102","51,932","4,501,173,898","5,569,774","300,890","86,972,324,906"
22년 10월,"2,440,549","182,938","36,189,200,540","272,583","52,317","3,823,938,193","4,987,310","289,904","76,750,351,178"
22년 11월,"2,411,099","189,756","37,478,701,810","261,364","50,211","3,724,957,676","5,566,573","296,664","87,553,984,329"
22년 12월,"3,184,876","199,057","49,605,616,479","449,111","60,861","6,562,782,494","6,851,260","303,656","106,948,268,854"
23년 01월,"2,697,443","193,081","42,200,049,305","431,323","51,904","6,110,858,910","6,810,256","312,926","105,150,662,393"
23년 02월,"2,672,180","199,323","41,359,546,952","427,168","54,365","5,787,440,563","6,479,262","324,294","99,275,883,055"
23년 03월,"3,071,570","210,598","48,572,483,690","612,538","55,363","8,544,888,806","7,914,998","347,544","127,466,485,857"
23년 04월,"2,802,885","210,631","44,115,234,495","362,363","51,965","5,301,910,387","5,803,973","325,001","91,262,983,615"
23년 05월,"2,811,105","210,277","43,667,049,146","311,747","53,435","4,355,200,284","5,327,798","319,314","83,589,033,127"
23년 06월,"2,526,739","215,118","40,168,945,897","326,440","52,953","4,577,848,174","5,064,469","310,197","80,991,840,044"
23년 07월,"2,950,174","202,307","44,823,739,653","535,424","56,239","7,560,960,423","6,253,225","313,208","98,432,356,008"
23년 08월,"2,773,047","199,571","42,689,561,209","512,034","55,633","7,324,679,137","6,051,720","327,017","97,235,176,185"
23년 09월,"2,630,006","204,404","41,673,457,885","446,445","49,946","6,714,069,837","5,589,783","324,863","93,755,024,106"
23년 10월,"2,764,595","215,273","43,304,861,241","420,148","55,572","6,017,515,090","5,003,864","318,603","81,155,495,401"
23년 11월,"2,570,067","209,089","40,660,218,299","409,814","54,126","5,980,963,155","5,582,870","326,195","91,268,121,486"
23년 12월,"3,388,290","216,442","53,445,293,836","593,531","59,053","8,958,206,551","6,873,557","329,433","111,694,377,964"
24년 01월,"2,412,713","178,522","39,430,176,340","551,158","49,643","7,959,830,166","6,429,239","289,952","102,967,869,296"
24년 02월,"2,515,389","174,995","40,607,007,450","494,927","50,932","7,028,761,681","5,675,955","283,625","90,345,248,646"
24년 03월,"2,820,207","184,848","45,885,853,740","740,755","55,954","10,906,548,033","7,270,764","309,365","121,151,951,042"
24년 04월,"2,538,847","194,612","41,603,040,460","513,341","54,874","8,605,430,331","5,099,335","291,198","83,150,418,774"
24년 05월,"2,803,887","195,591","45,575,096,456","434,719","57,184","6,759,174,760","5,123,237","291,196","84,708,321,531"
24년 06월,"2,452,101","183,039","40,096,019,110","447,284","54,902","6,621,782,436","4,826,636","280,081","79,519,010,788"
24년 07월,"2,694,236","184,029","43,774,345,830","653,097","57,022","9,738,294,534","6,152,637","288,726","99,705,875,408"
24년 08월,"2,515,231","181,005","40,866,818,130","603,420","55,498","9,111,783,328","5,731,110","292,616","93,824,818,563"
24년 09월,"2,556,308","185,531","41,918,713,720","377,954","52,023","5,882,339,866","5,252,992","299,073","89,993,399,343"
