Date,Open,High,Low,Close,Volume,Change,UpDown,Comp,Amount,MarCap
2001-06-11,798.5,798.9,793.7,795.2,344469514,-0.0155,2,-12.5,1667472811640,46505346246600
2001-06-12,793.3,807.0,793.3,801.2,408851173,0.0075,1,6.0,1968394948410,46936958509470
2001-06-13,808.7,816.9,808.7,816.8,406849456,0.0195,1,15.6,1800545886630,47797420033920
2001-06-14,815.3,821.9,813.3,821.3,402752924,0.0055000000000000005,1,4.5,1702855974050,48160608112320
2001-06-15,814.6,824.9,813.0,824.9,381490645,0.0044,1,3.6,1635679651310,48353277373120
2001-06-18,824.9,827.8,816.7,817.6,356549955,-0.0088,2,-7.3,1528310652050,47933997241520
2001-06-19,812.4,814.2,806.8,809.3,388534516,-0.0102,2,-8.3,1717577260720,47371161574810
2001-06-20,809.1,812.0,781.7,788.3,340116477,-0.0259,2,-21.0,1672020901400,46147740149140
2001-06-21,796.2,800.1,783.1,788.2,291690157,-0.0001,2,-0.1,1450882584520,46312694627480
2001-06-22,787.4,791.5,785.4,786.0,334728958,-0.0028000000000000004,2,-2.2,1521757610610,46196392164000
2001-06-25,782.9,787.6,776.8,776.8,300024337,-0.011699999999999999,2,-9.2,1337615809860,45701787657560
2001-06-26,775.6,780.1,742.8,745.3,314326987,-0.0406,2,-31.5,1335453515720,44006549166220
2001-06-27,744.8,749.5,733.0,746.0,290094648,0.0009,1,0.7,1479276664830,44038500840520
2001-06-28,747.0,756.2,744.6,747.2,281816761,0.0016,1,1.2,1267479066340,44157644739550
2001-06-29,763.7,768.7,761.1,768.7,293918087,0.0288,1,21.5,1400405914790,45359918230920
2001-07-02,772.0,777.7,766.8,775.6,289290773,0.009000000000000001,1,6.9,1248990242390,45727018776210
2001-07-03,778.3,781.1,773.8,776.5,304579726,0.0012,1,0.9,1340119925380,45840430077380
2001-07-04,776.2,777.4,765.6,774.9,306541705,-0.0021,2,-1.6,1235520782080,45735836821620
2001-07-05,774.2,778.8,767.2,767.2,320103170,-0.009899999999999999,2,-7.7,1243533576600,45323298082070
2001-07-06,754.6,754.6,740.8,740.8,289794162,-0.0344,2,-26.4,1192944345810,43832914993420
2001-07-09,719.3,719.5,694.3,701.2,286823989,-0.0535,2,-39.6,1164755981540,41566279096860
2001-07-10,709.7,713.4,701.4,706.7,302152811,0.0078000000000000005,1,5.5,1161796194660,42107433652530
2001-07-11,681.2,693.5,671.7,680.7,349991372,-0.0368,2,-26.0,1387485747210,40617864639880
2001-07-12,699.4,721.6,697.9,721.6,369384855,0.0601,1,40.9,1572177350890,42981341984650
2001-07-13,736.6,737.0,695.8,695.8,406618343,-0.0358,2,-25.8,1703255088900,41495123759340
2001-07-16,702.6,708.9,693.0,701.7,292652819,0.0085,1,5.9,1139026414690,41822855155200
2001-07-18,703.3,706.0,680.3,680.3,300426135,-0.0305,2,-21.4,1105865311570,40635174650430
