Date,Open,High,Low,Close,Volume,Change,UpDown,Comp,Amount,MarCap,Monthly Return
2001-06-30,763.7,768.7,761.1,768.7,293918087,0.0288,1,21.5,1400405914790,45359918230920,
2001-07-31,669.1,680.9,669.1,680.9,387344326,0.0166,1,11.1,1299042168990,41244966591730,-0.11421881097957598
2001-08-31,627.8,635.0,611.6,618.4,211865432,-0.0461,2,-29.9,769692500360,38162939933140,-0.09179027757379943
2001-09-30,500.1,517.8,499.0,516.4,358726172,0.0401,1,19.9,1268245150860,32829693193960,-0.16494178525226388
2001-10-31,612.5,625.5,611.8,625.5,360554545,0.0136,1,8.4,1381943901680,43708004837840,0.21127033307513554
2001-11-30,700.2,709.2,700.2,705.2,355549396,0.0222,1,15.3,1447467255760,49072364526120,0.12741806554756208
2001-12-31,702.1,723.6,702.1,722.1,287027906,0.04,1,27.8,1200968637430,51818055083670,0.023964832671582448
2002-01-31,774.8,781.0,767.3,773.6,417015008,0.0152,1,11.6,1743232191450,58484471547850,0.0713197618058441
2002-02-28,780.2,787.8,779.1,787.1,329002592,0.0151,1,11.7,1750093208100,60482475738360,0.017450879007238962
2002-03-31,925.0,931.2,917.7,927.3,437524434,0.0096,1,8.8,2428320006330,71834721517790,0.1781222208105704
2002-04-30,735.9,741.5,727.0,733.4,263060995,-0.0049,2,-3.6,1168480720090,57880179547050,-0.20910169308745818
2002-05-31,706.8,713.9,696.6,697.8,266763967,-0.0085,2,-6.0,1198241602490,55737108034220,-0.04854104172347973
2002-06-30,585.2,612.1,585.2,608.5,268651435,0.0633,1,36.2,848203902310,49145510405220,-0.1279736314130122
2002-07-31,590.3,596.0,586.2,586.2,236019491,-0.0091,2,-5.4,709917189640,47501322413250,-0.03664749383730481
2002-08-31,585.0,591.8,585.0,591.1,275833512,0.0115,1,6.7,871196710760,48093562696550,0.008358921869668912
2002-09-30,470.4,471.2,463.0,467.1,181450993,-0.0373,2,-18.1,401507015000,38159626379450,-0.20977837929284382
2002-10-31,487.8,488.7,477.3,480.5,270693402,-0.0048,2,-2.3,778981497440,39378085036970,0.028687647184757026
2002-11-30,513.9,519.2,510.8,519.0,319550683,0.0165,1,8.4,962813497820,43310752365250,0.08012486992715928
2002-12-31,454.4,455.2,433.1,443.6,248074202,-0.0415,2,-19.2,650111392830,37403132423850,-0.1452793834296724
2003-01-31,428.3,433.9,428.3,433.9,251792481,0.0204999999999999,1,8.7,594642643750,37397888932760,-0.021866546438232715
2003-02-28,428.9,429.3,417.2,417.8,324171629,-0.0243,2,-10.4,624376294700,36451769943500,-0.03710532380732878
2003-03-31,388.5,389.1,375.5,377.7,366891833,-0.0384,2,-15.1,809393786890,33087977818200,-0.09597893729056972
2003-04-30,432.2,435.2,426.9,428.0,397736845,-0.0058,2,-2.5,1264619922090,37736042325220,0.13317447709822616
2003-05-31,471.9,474.5,468.2,471.8,549087263,0.0019,1,0.9,1728852542120,41403776716130,0.10233644859813085
2003-06-30,496.8,499.6,492.5,497.5,374425093,0.0014,1,0.7,1266850965600,42731691489250,0.0544722339974566
2003-07-31,496.2,498.3,490.6,493.3,335808359,-0.0028,2,-1.4,1012582828055,43023270527855,-0.008442211055276316
2003-08-31,489.3,495.4,484.4,495.4,366884130,0.0204,1,9.9,1147324625805,44048163762200,0.004257044394891496
2003-09-30,453.4,454.6,448.4,448.6,396912475,0.0002,1,0.1,854586483590,38040911651335,-0.09446911586596685
2003-10-31,469.3,469.5,462.0,463.8,363476803,-0.0098,2,-4.6,858441111105,38260480091185,0.03388319215336599
2003-11-30,455.2,458.4,455.2,458.4,384145717,0.0108,1,4.9,719487983490,38896442464135,-0.011642949547218673
2003-12-31,445.7,448.7,443.5,448.7,323053390,0.0186,1,8.2,672403908205,37374778361900,-0.021160558464223378
2004-01-31,444.43,445.73,439.69,441.45,336087644,-0.0016,2,-0.7,789795292710,37825729118100,-0.01615778916870958
2004-02-29,424.23,428.68,424.23,428.68,309257891,0.0097,1,4.11,583243058335,36382832752460,-0.0289273983463586
2004-03-31,433.72,435.66,430.02,434.16,310472858,0.0064,1,2.77,639005946450,37331000533170,0.012783428198189783
2004-04-30,446.95,453.49,444.12,453.47,320241698,-0.0056,2,-2.57,896441250300,35715480904065,0.04447669062096926
2004-05-31,401.94,402.54,397.72,400.92,223916355,-0.0017,2,-0.67,536931487665,31949284193595,-0.11588418197455186
2004-06-30,379.58,385.18,378.61,385.18,265076276,0.0226,1,8.51,573403752315,30729182839010,-0.03925970268382717
2004-07-31,330.92,333.84,330.63,331.21,318133608,0.0084,1,2.77,495169252527,27102458220485,-0.14011630925800933
2004-08-31,352.85,355.81,352.85,355.66,254193743,0.0062,1,2.19,425125679190,29479053842985,0.07382023489628953
2004-09-30,361.07,363.43,360.81,362.08,161421763,-0.0005,2,-0.17,318102043725,30118323115270,0.0180509475341617
2004-10-31,354.23,357.49,352.91,357.04,163792735,0.0040999999999999,1,1.47,330066197735,30117661930080,-0.013919575784356986
2004-11-30,370.82,373.43,370.43,373.43,232196674,0.0086,1,3.17,440232262415,31580413418920,0.04590522070356262
2004-12-31,372.58,380.33,372.58,380.33,274896071,0.0202,1,7.53,620338457585,31149048228965,0.018477358541092004
2005-01-31,468.27,475.34,468.27,472.95,571869635,0.0093999999999999,1,4.42,1719966601520,39864140990690,0.24352535955617483
2005-02-28,500.75,501.28,495.55,498.38,471039820,0.0070999999999999,1,3.51,1514661175860,42817373942840,0.053768897346442523
2005-03-31,461.04,461.46,453.52,455.03,342469802,0.0,2,-0.02,1106663768785,39605077377345,-0.08698182110036523
2005-04-30,425.69,427.68,420.12,424.4,497598855,-0.0157,2,-6.77,797699331530,37099896701040,-0.06731424301694389
2005-05-31,470.33,471.54,467.76,471.48,626990305,0.0069,1,3.23,1860474052260,41474536581175,0.11093308199811514
2005-06-30,499.12,503.21,499.12,503.21,602893870,0.0112,1,5.58,1866116127305,45161846195210,0.06729871892763195
2005-07-31,552.96,553.83,545.56,546.68,813012098,-0.0018,2,-0.99,2966999952475,50506087318400,0.08638540569543518
2005-08-31,494.49,503.97,494.27,503.95,462033997,0.012,1,5.99,1228402327415,47250994081495,-0.07816272773834776
2005-09-30,572.82,573.76,568.82,571.95,519084004,0.0068,1,3.87,1744252260220,53966575682210,0.13493402123226517
2005-10-31,587.44,589.28,585.13,587.46,572477998,0.0113,1,6.54,1801070741370,56535916263735,0.02711775504851821
2005-11-30,698.27,712.39,698.27,712.39,768209644,0.022,1,15.34,2977101851410,69909792295865,0.2126612875770264
2005-12-31,694.7,701.8,694.7,701.79,663616934,0.0152,1,10.53,2437175576875,70897735464020,-0.014879490166903042
2006-01-31,683.36,694.11,681.7,690.24,597130441,0.0185,1,12.55,2112809116525,71053051608675,-0.01645791476082581
2006-02-28,686.82,686.9,679.1,682.36,717547353,0.0,1,0.03,2312619860265,70710993138300,-0.011416318961520622
2006-03-31,655.01,665.78,655.01,665.21,602172809,0.0186,1,12.16,1921139210895,69828524517900,-0.02513336068937211
2006-04-30,693.57,693.79,682.47,685.44,490661898,-0.0113999999999999,2,-7.93,1615732904528,72343681884530,0.030411449016100267
2006-05-31,641.33,641.75,627.38,630.5,450826352,-0.0121999999999999,2,-7.77,1458180378705,66315869385950,-0.08015289449112983
2006-06-30,588.17,590.69,585.9,590.68,403368282,0.0239,1,13.76,1370313085649,63751625338915,-0.06315622521808095
2006-07-31,564.14,565.03,557.4,557.66,326275862,0.0017,1,0.97,932594507545,58094178911135,-0.0559016726484729
2006-08-31,569.44,573.06,569.29,572.83,428608860,0.0137,1,7.73,1474077763966,64169497232705,0.027202955205680945
2006-09-30,603.26,604.56,600.21,600.42,546334616,0.0009,1,0.51,1524774219310,68092041956000,0.04816437686573671
