Date,Open,High,Low,Close,Volume,Change,UpDown,Comp,Amount,MarCap,Monthly Return
2001-06-30,594.02,595.13,589.18,595.13,225172341,0.0203,1,11.86,1398816459600,210493941038255,
2001-07-31,534.84,541.55,532.55,541.55,202397781,0.015,1,8.02,916393405150,193627166475185,-0.09003074958412449
2001-08-31,552.78,554.48,542.21,545.11,720384593,-0.0341,2,-19.25,1789164304200,191853012066575,0.006573723571230872
2001-09-30,475.56,483.21,472.71,479.68,426736381,0.0155,1,7.3,1526524908450,171505302693130,-0.12003081946763039
2001-10-31,530.53,537.81,529.75,537.81,592318787,0.0074,1,3.94,1265999144700,183450750278170,0.1211849566377583
2001-11-30,645.63,649.4,640.23,643.89,792573530,0.0239,1,15.03,3628247108600,232375794404120,0.19724437998549682
2001-12-31,680.22,695.96,680.22,693.7,514805371,0.0375999999999999,1,25.15,2706145133650,253843395935720,0.07735793380856992
2002-01-31,761.12,762.22,742.89,748.07,670587832,-0.0018,2,-1.38,3952310825735,276436914468005,0.07837681995098755
2002-02-28,825.12,826.6,815.52,819.99,676070778,-0.0026,2,-2.12,4289132365525,306211458202815,0.09614073549266777
2002-03-31,902.05,906.25,893.18,895.58,454918331,0.0033,1,2.91,3097139256965,336603943394935,0.09218405102501248
2002-04-30,840.31,847.19,829.16,842.34,992265891,0.0046,1,3.83,3371091371415,325810505367280,-0.059447508876928956
2002-05-31,815.14,820.51,794.92,796.4,686763321,-0.0236,2,-19.21,2659453654820,309158799013720,-0.05453854737991792
2002-06-30,723.73,747.62,722.63,742.72,640958275,0.0455,1,32.29,2691459155705,297262194207630,-0.06740331491712703
2002-07-31,725.03,727.58,717.42,717.99,1956029483,-0.0084,2,-6.09,2996995264760,289273326886880,-0.03329653166738478
2002-08-31,726.25,736.4,721.02,736.4,805516211,0.0158,1,11.46,2491289160450,298407463737265,0.02564102564102555
2002-09-30,645.28,648.84,639.74,646.42,505725995,-0.0260999999999999,2,-17.3,1618336685410,263198192344480,-0.12218902770233575
2002-10-31,664.8,670.18,653.11,658.92,1038910407,0.0014,1,0.89,2228396414035,269412456102925,0.01933727298041532
2002-11-30,719.46,724.8,713.01,724.8,713328739,0.0144,1,10.26,2587510811260,297151362032635,0.09998178838098704
2002-12-31,652.07,652.07,613.76,627.55,650409824,-0.0447,2,-29.37,3431175929585,258680756224005,-0.13417494481236203
2003-01-31,589.07,593.7,586.03,591.86,510747664,0.0146,1,8.51,1199090244090,242755186791045,-0.05687196239343473
2003-02-28,586.07,587.94,573.3,575.43,596286502,-0.0121,2,-7.03,1220656353575,236338251586865,-0.027759943229818007
2003-03-31,547.75,549.32,534.23,535.7,545045438,-0.0371,2,-20.63,1637281037075,220890646644150,-0.06904401925516557
