ROOF_RAIL_A_W1,ROOF_RAIL_A_W2,ROOF_RAIL_A_T1,ROOF_RAIL_A_T2,ROOF_RAIL_B_W1,ROOF_RAIL_B_W2,ROOF_RAIL_B_T1,ROOF_RAIL_B_T2,ROOF_RAIL_C_W1,ROOF_RAIL_C_W2,ROOF_RAIL_C_T1,ROOF_RAIL_C_T2,ROOF_RAIL_D_W1,ROOF_RAIL_D_W2,ROOF_RAIL_D_T1,ROOF_RAIL_D_T2,ROOF_XMBR_NO1_W1,ROOF_XMBR_NO1_W2,ROOF_XMBR_NO1_T1,ROOF_XMBR_NO1_T2,ROOF_XMBR_NO2_W1,ROOF_XMBR_NO2_W2,ROOF_XMBR_NO2_T1,ROOF_XMBR_NO2_T2,ROOF_XMBR_NO3_W1,ROOF_XMBR_NO3_W2,ROOF_XMBR_NO3_T1,ROOF_XMBR_NO3_T2,BPOST_01_W1,BPOST_01_W2,BPOST_01_T1,BPOST_01_T2,BPOST_02_W1,BPOST_02_W2,BPOST_02_T1,BPOST_02_T2,BPOST_03_W1,BPOST_03_W2,BPOST_03_T1,BPOST_03_T2,BPOST_04_W1,BPOST_04_W2,BPOST_04_T1,BPOST_04_T2,R_SUPT_W1,R_SUPT_W2,R_SUPT_T1,R_SUPT_T2,FR_SMBR_W1,FR_SMBR_W2,FR_SMBR_T1,FR_SMBR_T2,SEAT_SMBR_NO1_W1,SEAT_SMBR_NO1_W2,SEAT_SMBR_NO1_T1,SEAT_SMBR_NO1_T2,SEAT_SMBR_NO2_W1,SEAT_SMBR_NO2_W2,SEAT_SMBR_NO2_T1,SEAT_SMBR_NO2_T2,SSILL_W1,SSILL_W2,SSILL_T1,SSILL_T2,RR_SMBR_FR_W1,RR_SMBR_FR_W2,RR_SMBR_FR_T1,RR_SMBR_FR_T2,RR_SMBR_RR_W1,RR_SMBR_RR_W2,RR_SMBR_RR_T1,RR_SMBR_RR_T2,RR_FLR_SMBR_W1,RR_FLR_SMBR_W2,RR_FLR_SMBR_T1,RR_FLR_SMBR_T2,CTR_SMBR_FR_W1,CTR_SMBR_FR_W1.1,CTR_SMBR_FR_T1,CTR_SMBR_FR_T2,CTR_SMBR_RR_W1,CTR_SMBR_RR_W2,CTR_SMBR_RR_T1,CTR_SMBR_RR_T2,STEP1_FREQ_1ST
44.28,37.6,0.944,3.498057,92.456433,44.223625,1.0924209,0.7581899,86.454938,38.481931,1.1096673,1.4533177,37.626683,99.994194,1.8934329,1.521307,90.531365,25.728302,1.2515177,3.5089034,45.164326,53.146295,1.2470463,1.8707575,78.330652,49.539453,2.013032,2.6303394,73.495804,66.261272,1.6034356,2.2128779,83.18693,56.587177,1.3703865,0.5012618,103.59042,37.556404,1.7794418,1.2819859,213.10823,38.49906,2.4549017,0.7886563,70.722937,79.296334,1.2116169,1.7982161,60.386674,131.29006,2.8343157,1.9357028,114.62554,35.008248,2.3653346,0.5006907,86.429277,37.735511,1.395906,1.3607694,101.42967,76.053916,1.7940722,1.5486444,126.79171,69.322301,1.8240761,4.3129487,107.85621,51.046245,3.3446084,3.8665066,130.26915,67.228633,1.3373367,0.9723673,70.4458,57.190437,0.9001457,1.3212347,63.609962,55.468298,0.986062,0.9697558,55.5913
50.76,47.2,0.848,2.706114,78.312865,41.64725,1.2748418,0.8863798,78.009875,28.863862,0.7893345,1.6466354,29.753366,73.888387,2.0368658,1.3526141,90.06273,32.556604,1.5930354,4.2178068,40.928651,46.492589,0.9340925,2.3415149,66.961304,36.678905,1.816064,3.1606787,55.991608,59.722544,1.2568713,2.0857558,94.973861,45.574354,1.480773,0.5125235,118.98085,39.412808,1.4788837,1.3739717,210.41646,39.19812,2.4398033,0.9473127,67.345875,63.692667,1.1232339,2.2664322,42.773349,106.58012,3.2186314,1.9214056,136.85108,42.016497,2.2606691,0.5113813,86.758553,47.471023,1.671812,1.2915388,115.35934,96.107832,2.2581445,1.4072889,109.28341,86.844602,1.3081522,5.0558973,107.81243,62.89249,2.6592168,3.8330133,120.1383,52.557266,1.6946734,0.9047347,87.6916,50.680874,0.6302914,1.5924695,45.319924,45.936596,1.2721241,1.0295117,55.62372
57.24,32.8,0.752,3.8944563,91.908153,37.138602,1.4049484,0.6688021,86.87591,39.620425,0.9068607,1.7663107,31.738121,75.753222,2.4094764,1.275095,59.54573,29.06461,1.4091773,4.1508787,34.081341,51.85216,0.8996953,2.0635209,71.802569,41.263686,1.9913671,2.6136015,52.886613,69.636628,1.4538193,1.5859389,74.444783,49.658628,2.2778547,0.8792561,108.05386,60.131664,1.5879526,1.3518851,173.70384,39.722829,1.5474887,0.7943555,64.929414,86.546739,1.2207943,2.0432744,49.715668,107.47715,2.6482764,1.3605003,169.22443,32.466635,1.5535023,0.5672401,156.59512,28.510296,1.5093072,0.8943986,119.61841,79.210225,2.098792,1.6292333,111.49095,82.614923,1.9603697,4.1354934,103.76536,52.821771,2.3171787,2.544208,139.31063,74.751745,1.3644432,0.6373478,91.106611,45.622441,1.1309814,1.0947233,58.371578,45.379633,1.0264595,1.1700336,56.11537
63.72,42.4,0.656,3.1022281,99.254076,41.969301,1.5474742,0.6494011,68.987955,32.760212,1.1684303,2.0531554,28.11906,71.826611,2.8297382,1.4825475,75.272865,32.082305,1.5495887,3.4754393,41.740671,42.02608,0.8698477,2.3317604,80.751284,37.431843,2.1006836,3.2568008,71.943306,71.218314,1.2519096,1.9629694,72.887132,50.721267,1.3566021,0.8583514,122.34619,46.63051,1.3106871,1.2521627,177.61917,59.442949,1.6241794,0.928649,63.694677,63.229146,0.9192295,2.14272,67.199884,144.67535,4.0609556,1.4687022,140.13127,44.171624,2.3933655,0.7536833,105.6034,34.702844,1.5406087,1.081864,121.9726,61.634949,1.6432713,1.3818234,106.78325,82.456952,1.6144498,6.2437494,86.073176,64.713668,3.8276278,3.2635958,122.94866,46.96565,1.1527204,0.7570854,69.225867,53.608399,0.7102942,1.3099227,75.333263,42.439411,0.8840651,1.4377103,54.52582
39.096,49.12,0.7328,4.1316685,99.490396,30.808191,1.5231375,1.037141,64.780489,41.744308,1.3334098,1.7238889,30.541882,88.332901,2.0269247,1.3934239,54.155562,28.74924,1.0506355,4.8025446,42.623885,53.368275,1.3457856,1.4438934,88.719724,50.866569,2.1084829,3.4047619,68.763037,51.012107,1.5446564,1.8606197,98.004053,51.249097,1.4463689,0.5391789,156.0807,60.119858,1.7162973,1.6827823,124.66508,56.611011,2.1311922,1.0264296,49.825891,61.446029,1.2050839,2.0468775,58.712918,99.610741,3.8606791,1.2027945,126.19869,49.370157,2.3127318,0.8355147,143.15949,51.933095,1.4919109,1.2222207,102.48802,82.776258,2.3053723,1.6364045,86.272971,91.241368,1.7079957,4.7583,66.493714,61.276219,2.4836547,2.3446699,82.465955,70.583432,1.7631038,0.8222044,88.591044,51.848102,0.9381012,1.2454198,56.148708,58.215257,0.7384597,1.5185017,55.6933
45.576,34.72,0.6368,3.3400107,63.857337,42.424742,0.9654535,0.7729219,65.778319,29.368382,1.0911746,1.8236797,39.414309,98.2479,1.8935288,1.6285855,79.491157,23.188149,1.5928102,3.8874795,29.188562,47.50305,1.3403855,2.066764,75.865466,57.247062,1.9397745,2.2712155,84.529768,49.822285,1.3502787,2.1714052,118.90121,48.335032,2.2763308,0.831795,100.0139,39.105866,1.9421156,2.0300746,181.3745,60.132567,1.3965374,1.0309931,63.636123,86.43072,1.136022,1.4881556,43.098058,144.28698,4.0627478,1.6385615,130.17475,36.372934,2.3328261,0.7093008,131.21616,48.212491,1.5079075,0.9283993,107.16539,78.330351,1.8347268,1.295378,80.460955,86.813109,1.714832,3.6964027,66.068153,58.511007,3.1213031,2.7013046,90.615074,74.944139,1.014185,0.6917185,86.911666,39.023344,0.7540564,1.5686646,55.618604,40.704885,0.8966109,1.5399288,55.46243
52.056,44.32,1.0208,2.5483529,77.424279,32.441293,1.1877696,1.0487028,66.776149,39.192457,0.8489395,1.9234704,27.286735,108.1629,1.7601328,1.0837471,62.826752,33.827059,1.3558837,4.189037,33.162529,46.405613,0.873666,1.5904442,66.7449,35.888066,2.121978,2.4397209,86.632866,55.293824,1.4622183,1.6780702,86.996557,51.656433,1.8257697,0.553482,161.89625,61.377137,1.9420173,1.1926109,171.40184,61.33008,2.2882876,0.7454104,61.347054,78.278102,0.7723458,2.3530164,67.975284,96.248124,3.4962183,1.4561059,133.52528,33.869786,2.1175723,0.5355174,141.17171,43.385437,2.0248422,1.0696969,115.32511,90.202146,1.5104532,1.0102155,116.63075,58.945495,1.4246698,5.2355881,62.183932,55.082969,3.6092669,2.6549045,105.65319,80.349708,1.0568939,0.6290216,58.680856,37.132291,0.8996654,1.475082,72.860133,60.468082,1.0091674,1.2375587,55.60889
58.536,29.92,0.9248,3.7366951,91.019566,27.932646,1.3178761,0.8311251,75.642184,27.74902,0.9664656,2.0431458,29.27149,110.02773,2.1327434,1.006228,74.309751,30.335064,1.1720256,4.1221088,49.11522,51.765184,1.5592688,2.5124501,71.586165,40.472847,1.2772811,3.6926437,83.52787,65.207908,1.6591663,2.2582532,127.66748,55.740707,1.5428514,0.5002146,150.96927,51.495992,2.0510862,2.1905242,134.68923,61.854789,1.395973,1.1324532,58.930593,57.332174,0.8699062,2.1298585,74.917603,97.145155,2.9258633,1.7952006,165.89863,48.319924,1.4104054,0.5913761,137.20828,48.42471,1.8623374,1.3325567,119.58417,73.304539,1.3511008,1.23216,118.83829,54.715816,2.0768873,4.3151841,58.136861,45.01225,3.2672288,3.1660992,124.82552,64.744187,1.5666636,0.8416347,62.095867,61.473857,0.8603555,1.8773358,48.111788,59.911118,0.7635028,1.3780805,55.53723
65.016,39.52,0.8288,2.944467,98.36549,32.763344,1.4604019,0.811724,57.754229,43.088807,1.2280353,2.3299904,25.652429,106.10112,2.5538694,1.4113817,85.071759,34.752001,1.4525557,3.547479,46.402667,42.447265,1.2932724,1.4147069,53.100662,53.895873,2.0701774,2.7657425,63.466297,70.147153,1.8237054,1.9012322,112.68641,39.978389,1.446846,0.9016662,153.53528,53.482696,1.541912,1.8355546,182.09446,48.637109,2.147345,1.1174398,65.649627,77.107966,1.0997093,1.3816804,70.917603,137.14769,2.6099572,1.5889831,99.637032,33.533382,1.5960862,0.901203,103.67404,28.248988,1.7293141,1.2939922,127.16338,97.029505,1.9499556,1.2040539,99.630095,61.070416,2.2232456,3.689858,62.851341,72.265748,2.2100845,3.0710995,106.50471,75.347125,1.6308395,0.6918069,53.86196,44.676686,0.8593471,1.6681681,79.28723,60.655926,1.2704464,1.2152819,56.30263
40.392,46.24,0.9056,3.9733369,92.352446,30.941581,1.4484845,0.8576406,70.592773,34.456127,0.8770582,2.1678932,43.471436,116.81597,1.7978429,1.4095285,73.163719,20.329383,1.1377532,4.1652636,49.364402,38.095648,1.2899086,2.4397476,61.704141,38.254447,1.4165106,2.3974313,81.330152,56.56611,1.3677163,1.9755585,100.56831,41.542525,1.672414,0.5102509,96.251942,51.249047,1.452316,1.8578741,125.51528,53.931665,2.4295407,0.8317677,65.166738,64.591996,0.7747194,1.6731848,63.443156,131.69651,3.8150953,1.8221893,141.1381,50.037352,2.0310563,0.6883122,104.04141,42.458311,1.5426737,1.2671925,152.88824,65.284655,1.8763594,1.251276,129.77101,75.395255,2.0856851,4.2420946,103.46296,50.516537,2.2811941,3.7857637,109.29406,78.442899,1.2550476,0.7558902,54.906877,39.259513,0.7337577,1.5775033,47.270665,59.379866,1.2695063,1.3040934,55.94923
