RR_FLR_SMBR_W2,RR_SMBR_RR_W1,RR_SMBR_RR_T1,R_SUPT_T2,FR_SMBR_T1,RR_SMBR_FR_T2,R_SUPT_W2,FR_SMBR_T2,RR_FLR_SMBR_W1,ROOF_XMBR_NO2_T1,SSILL_T1,RR_SMBR_RR_W2,FR_SMBR_W2,FR_SMBR_W1,RR_FLR_SMBR_T1,BPOST_04_W1,RR_SMBR_FR_W2,FREQ
67.228633,107.85621,3.3446084,1.7982161,2.8343157,4.3129487,79.296334,1.9357028,130.26915,1.2470463,1.7940722,51.046245,131.29006,60.386674,1.3373367,213.10823,69.322301,55.5913
52.557266,107.81243,2.6592168,2.2664322,3.2186314,5.0558973,63.692667,1.9214056,120.1383,0.9340925,2.2581445,62.89249,106.58012,42.773349,1.6946734,210.41646,86.844602,55.62372
74.751745,103.76536,2.3171787,2.0432744,2.6482764,4.1354934,86.546739,1.3605003,139.31063,0.8996953,2.098792,52.821771,107.47715,49.715668,1.3644432,173.70384,82.614923,56.11537
46.96565,86.073176,3.8276278,2.14272,4.0609556,6.2437494,63.229146,1.4687022,122.94866,0.8698477,1.6432713,64.713668,144.67535,67.199884,1.1527204,177.61917,82.456952,54.52582
70.583432,66.493714,2.4836547,2.0468775,3.8606791,4.7583,61.446029,1.2027945,82.465955,1.3457856,2.3053723,61.276219,99.610741,58.712918,1.7631038,124.66508,91.241368,55.6933
74.944139,66.068153,3.1213031,1.4881556,4.0627478,3.6964027,86.43072,1.6385615,90.615074,1.3403855,1.8347268,58.511007,144.28698,43.098058,1.014185,181.3745,86.813109,55.46243
80.349708,62.183932,3.6092669,2.3530164,3.4962183,5.2355881,78.278102,1.4561059,105.65319,0.873666,1.5104532,55.082969,96.248124,67.975284,1.0568939,171.40184,58.945495,55.60889
64.744187,58.136861,3.2672288,2.1298585,2.9258633,4.3151841,57.332174,1.7952006,124.82552,1.5592688,1.3511008,45.01225,97.145155,74.917603,1.5666636,134.68923,54.715816,55.53723
75.347125,62.851341,2.2100845,1.3816804,2.6099572,3.689858,77.107966,1.5889831,106.50471,1.2932724,1.9499556,72.265748,137.14769,70.917603,1.6308395,182.09446,61.070416,56.30263
78.442899,103.46296,2.2811941,1.6731848,3.8150953,4.2420946,64.591996,1.8221893,109.29406,1.2899086,1.8763594,50.516537,131.69651,63.443156,1.2550476,125.51528,75.395255,55.94923
72.183872,58.210095,2.6105706,1.6667052,2.6205894,6.405104,89.175253,1.6841948,106.92677,0.859364,1.8689819,50.781186,127.93987,57.841882,1.3593171,150.75143,57.399451,55.24426
69.03314,70.577646,3.9229216,1.9298939,2.8068975,6.4238881,88.624131,1.6089005,112.51914,1.3794516,1.3458256,43.559188,111.85887,48.688202,0.9999977,179.86692,53.986862,55.14827
54.73663,62.308363,2.357279,2.2164427,3.2034502,4.4948749,71.917609,1.329901,110.34041,1.4988423,1.7434096,70.80273,86.813161,64.119537,1.7688841,195.27461,71.216709,55.41506
66.156613,98.974978,2.776451,2.4560837,4.105559,5.1731293,78.574652,1.4716724,80.947205,1.4195935,1.868416,54.972622,87.340831,68.869117,1.5653018,184.74944,52.674007,55.55713
51.127615,87.065502,3.0606525,1.9530871,3.2582867,6.392996,53.262015,1.0835056,81.040425,1.2340316,1.4999029,52.176844,125.67555,51.516482,1.6035621,162.15723,57.487587,55.54055
73.322094,83.01843,2.7186144,1.7299293,2.6879316,5.4725921,76.116087,1.4226003,100.21276,1.1996344,1.3405504,42.106125,126.57258,58.458801,1.2733318,125.44461,53.257908,56.06731
65.473848,96.792462,3.5043533,1.7490766,3.7736097,4.4812388,57.383083,1.2995794,134.03384,1.4629457,1.4933304,56.168439,127.07228,55.436733,1.1793529,195.89936,68.306509,56.10519
61.287086,103.49982,3.378423,1.3330433,4.2909586,4.9872787,70.82417,1.66739,93.719586,1.2891775,1.8974602,56.328787,144.84167,60.360759,1.0017113,144.0045,78.311071,55.32583
66.173838,78.883789,2.8657931,2.4432037,2.886208,6.0380855,67.762826,1.7331006,99.123394,1.2593298,2.1093424,55.727896,150.04972,66.174469,1.657775,182.94846,84.072832,55.54348
77.611047,95.459215,3.3743072,1.5299646,2.5689658,4.521296,63.608044,1.2363002,87.90638,1.0198172,1.3352752,40.653063,141.28629,68.229401,1.5466659,170.62231,52.528954,56.42982
62.005526,91.412144,3.0322691,2.4468068,4.0986108,3.6008921,86.462116,1.5753948,107.07872,0.98542,2.3159227,64.182344,142.18332,75.171719,1.2164357,133.90969,92.699276,54.71929
66.377433,75.889477,3.3695946,2.3024443,3.5594306,5.9655168,88.379704,1.1942721,132.12237,1.0374125,1.9027073,53.187215,102.83048,49.936024,1.5371612,141.68639,67.277695,55.40753
60.438009,65.787265,2.522194,2.3427032,4.2641801,4.401524,80.652043,1.7200726,118.95571,1.1793498,2.2554496,45.710039,91.722549,67.841651,1.2008564,190.91252,68.445946,54.80452
56.166281,83.055291,3.8158433,1.3897878,3.1637949,6.2177762,82.348261,1.2678009,84.638281,1.1989033,1.3616512,47.918376,139.71773,55.376404,1.0199955,143.93384,56.173724,55.02905
